tweet,sentimiento,puntaje_positivo,puntaje_negativo,puntaje_neutral,tiempo_fuzzy,defuzzificación,sentimiento_defuzz,tiempo_defuzzificar,tiempo_total
is scrapbooking with nic d,Positivo,0.0,0.0,1.0,7.199996616691351e-06,4.91,Neutral,6.189999112393707e-05,6.909998774062842e-05
rt five things wolfram alpha does better and vastly different than google,Positivo,0.2,0.0,0.791,7.700000423938036e-06,4.98,Neutral,5.390000296756625e-05,6.160000339150429e-05
just changed my default pic to a nike basketball cause bball is awesome,Positivo,0.3,0.0,0.728,8.000002708286047e-06,5.26,Neutral,5.230000533629209e-05,6.0300008044578135e-05
rt was just told that nike layoffs started today,Negativo,0.0,0.0,1.0,7.599999662488699e-06,4.91,Neutral,6.740000389982015e-05,7.500000356230885e-05
back when i worked for nike we had one fav word just do it,Positivo,0.2,0.0,0.8,7.800001185387373e-06,4.98,Neutral,5.570000212173909e-05,6.350000330712646e-05
by the way I am totally inspired by this freaky nike commercial,Positivo,0.2,0.2,0.6,8.399991202168167e-06,4.61,Neutral,5.119999696034938e-05,5.959998816251755e-05
class the d is supposed to come today,Positivo,0.0,0.0,1.0,7.499998901039362e-06,4.91,Neutral,5.789998976979405e-05,6.539998867083341e-05
needs someone to explain lambda calculus to him,Negativo,0.0,0.0,1.0,7.499998901039362e-06,4.91,Neutral,6.570000550709665e-05,7.320000440813601e-05
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,Negativo,0.1,0.1,0.758,8.29999044071883e-06,4.81,Neutral,5.7199998991563916e-05,6.549998943228275e-05
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,Positivo,0.2,0.1,0.712,8.199989679269493e-06,4.88,Neutral,5.2099989261478186e-05,6.029997894074768e-05
yeahhhhhhhhh i would not really have lived in east palo alto if i could have avoided it i guess it is only for the summer,Negativo,0.0,0.1,0.897,8.000002708286047e-06,4.81,Neutral,6.180000491440296e-05,6.980000762268901e-05
great stanford course thanks for making it available to the public really helpful and informative for starting off,Positivo,0.4,0.0,0.598,7.700000423938036e-06,5.87,Neutral,6.500000017695129e-05,7.270000060088933e-05
work til pm lets go lakers,Positivo,0.0,0.0,1.0,7.700000423938036e-06,4.91,Neutral,5.919999966863543e-05,6.690000009257346e-05
damn you north korea,Negativo,0.0,0.5,0.526,8.000002708286047e-06,1.67,Negativo,4.980000085197389e-05,5.780000356025994e-05
can we just go ahead and blow north korea off the map already,Negativo,0.0,0.0,1.0,1.7600003047846258e-05,4.91,Neutral,5.919999966863543e-05,7.680000271648169e-05
north korea please cease this douchebaggery china does not even like you anymore,Negativo,0.1,0.1,0.714,8.59999272506684e-06,4.81,Neutral,6.900000153109431e-05,7.759999425616115e-05
why the hell is pelosi in freakin china and on whose dime,Negativo,0.0,0.3,0.705,7.90000194683671e-06,3.99,Neutral,5.329999839887023e-05,6.120000034570694e-05
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,Negativo,0.0,0.2,0.816,7.90000194683671e-06,4.52,Neutral,5.319999763742089e-05,6.10999995842576e-05
insects have infected my spinach plant,Negativo,0.0,0.4,0.61,8.000002708286047e-06,3.09,Negativo,5.300001066643745e-05,6.1000013374723494e-05
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,Negativo,0.2,0.1,0.677,8.200004231184721e-06,4.88,Neutral,9.14999982342124e-05,9.970000246539712e-05
just got back from church and i totally hate insects,Negativo,0.0,0.3,0.667,8.000002708286047e-06,3.99,Neutral,5.43000060133636e-05,6.230000872164965e-05
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it is true so suck it,Negativo,0.2,0.3,0.543,8.200004231184721e-06,4.11,Neutral,5.0000002374872565e-05,5.8200006606057286e-05
omgg i ohhdee want mcdonalds damn i wonder if its open lol,Positivo,0.3,0.2,0.507,8.100003469735384e-06,4.79,Neutral,4.959999932907522e-05,5.77000027988106e-05
history exam studying ugh,Negativo,0.0,0.5,0.517,7.90000194683671e-06,1.67,Negativo,4.919999628327787e-05,5.709999823011458e-05
i hate revision it is so boring i am totally unprepared for my exam tomorrow things are not looking good,Negativo,0.0,0.4,0.622,7.800001185387373e-06,3.09,Negativo,6.159998883958906e-05,6.939999002497643e-05
higher physics exam tommorow not lookin forward to it much,Negativo,0.0,0.0,1.0,7.399998139590025e-06,4.91,Neutral,5.830000736750662e-05,6.570000550709665e-05
it is a bank holiday yet I am only out of work now exam season sucks,Negativo,0.2,0.1,0.698,1.3600001693703234e-05,4.88,Neutral,5.220000457484275e-05,6.580000626854599e-05
cheney and bush are the real culprits,Negativo,0.0,0.0,1.0,7.399998139590025e-06,4.91,Neutral,5.879999662283808e-05,6.61999947624281e-05
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,Negativo,0.0,0.4,0.599,7.800001185387373e-06,3.09,Negativo,5.989999044686556e-05,6.769999163225293e-05
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,Negativo,0.0,0.6,0.359,8.200004231184721e-06,1.72,Negativo,4.980000085197389e-05,5.800000508315861e-05
the republican party is a bunch of anti abortion zealots who could not draw flies to a dump neal boortz just now on the radio,Negativo,0.1,0.2,0.669,8.200004231184721e-06,4.52,Neutral,5.839999357704073e-05,6.659999780822545e-05
is twitter s connections api broken some tweets did not make it to twitter,Negativo,0.0,0.2,0.795,8.000002708286047e-06,4.52,Neutral,5.229999078437686e-05,6.029999349266291e-05
i srsly hate the stupid twitter api timeout thing soooo annoying,Negativo,0.0,0.6,0.417,7.90000194683671e-06,1.72,Negativo,5.7600002037361264e-05,6.550000398419797e-05
i really liked learning jquery book is worth a look too,Positivo,0.4,0.0,0.584,7.700000423938036e-06,5.87,Neutral,5.7999990531243384e-05,6.569999095518142e-05
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,Positivo,0.2,0.0,0.834,7.90000194683671e-06,4.98,Neutral,5.319999763742089e-05,6.10999995842576e-05
goodby silverstein agency new site great,Positivo,0.5,0.0,0.549,7.800001185387373e-06,7.67,Positivo,4.739999712910503e-05,5.5199998314492404e-05
rt goodby silverstein s new site i enjoy it nice find,Positivo,0.5,0.0,0.538,7.899987394921482e-06,7.67,Positivo,4.6899993321858346e-05,5.479998071677983e-05
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,Positivo,0.3,0.0,0.733,7.800001185387373e-06,5.26,Neutral,6.120000034570694e-05,6.900000153109431e-05
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,Positivo,0.3,0.0,0.714,7.800001185387373e-06,5.26,Neutral,5.200000305194408e-05,5.980000423733145e-05
zomg i have a g,Positivo,0.0,0.0,1.0,7.299997378140688e-06,4.91,Neutral,5.7600002037361264e-05,6.489999941550195e-05
ok so lots of buzz from io but how lucky are they a free g,Positivo,0.5,0.0,0.506,8.200004231184721e-06,7.67,Positivo,4.6899993321858346e-05,5.509999755304307e-05
just got a free g android at google i o,Positivo,0.4,0.0,0.602,7.700000423938036e-06,5.87,Neutral,6.170000415295362e-05,6.940000457689166e-05
guess I will be retiring my g and start using my developer g woot googleio,Positivo,0.2,0.0,0.797,7.90000194683671e-06,4.98,Neutral,5.429999146144837e-05,6.219999340828508e-05
i am happy for philip being at googleio today,Positivo,0.3,0.0,0.654,7.90000194683671e-06,5.26,Neutral,5.250000685919076e-05,6.040000880602747e-05
lakers played great cannot wait for thursday night lakers vs,Positivo,0.4,0.0,0.552,7.700000423938036e-06,5.87,Neutral,5.339999916031957e-05,6.10999995842576e-05
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,Positivo,0.3,0.1,0.615,8.100003469735384e-06,5.12,Neutral,8.489999163430184e-05,9.299999510403723e-05
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,Negativo,0.0,0.1,0.851,7.700000423938036e-06,4.81,Neutral,5.889999738428742e-05,6.659999780822545e-05
watching night at the museum lmao,Positivo,0.4,0.0,0.562,7.700000423938036e-06,5.87,Neutral,5.5900003644637764e-05,6.36000040685758e-05
i loved night at the museum,Positivo,0.5,0.0,0.506,7.90000194683671e-06,7.67,Positivo,5.0700007705017924e-05,5.8600009651854634e-05
just got back from the movies went to see the new night at the museum with rachel it was good,Positivo,0.1,0.0,0.868,8.100003469735384e-06,4.91,Neutral,5.750000127591193e-05,6.560000474564731e-05
i will take you on a date to see night at the museum whenever you want it looks soooooo good,Positivo,0.2,0.0,0.792,7.90000194683671e-06,4.98,Neutral,5.530001362785697e-05,6.320001557469368e-05
no watching the night at the museum getting really good,Positivo,0.2,0.2,0.597,8.200004231184721e-06,4.61,Neutral,5.0700007705017924e-05,5.8900011936202645e-05
night at the museum wolverine and junk food perfect monday,Positivo,0.3,0.0,0.709,8.399991202168167e-06,5.26,Neutral,5.18000015290454e-05,6.019999273121357e-05
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,Positivo,0.4,0.1,0.561,8.600007276982069e-06,5.67,Neutral,5.440000677481294e-05,6.3000014051795e-05
night at the museum tonite instead of up oh well that yr old better enjoy it lol,Negativo,0.5,0.0,0.542,8.200004231184721e-06,7.67,Positivo,5.7199998991563916e-05,6.540000322274864e-05
it is unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,Negativo,0.1,0.1,0.82,8.59999272506684e-06,4.81,Neutral,6.410000787582248e-05,7.270000060088933e-05
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,Negativo,0.2,0.0,0.797,8.000002708286047e-06,4.98,Neutral,5.9300000430084765e-05,6.730000313837081e-05
oh yes but if gm dies it will only be worth more boo hahaha,Negativo,0.5,0.0,0.536,8.200004231184721e-06,7.67,Positivo,4.8000001697801054e-05,5.6200005928985775e-05
time warner cable is down again rd time since memorial day bummer,Negativo,0.0,0.2,0.809,7.800001185387373e-06,4.52,Neutral,6.150000263005495e-05,6.930000381544232e-05
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,Negativo,0.2,0.1,0.783,8.700008038431406e-06,4.88,Neutral,5.429999146144837e-05,6.299999949987978e-05
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,Negativo,0.0,0.3,0.687,8.099988917820156e-06,3.99,Neutral,5.220000457484275e-05,6.029999349266291e-05
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,Negativo,0.0,0.3,0.657,8.500006515532732e-06,3.99,Neutral,5.1700000767596066e-05,6.02000072831288e-05
time warner has the worse customer service ever i will never use them again,Negativo,0.0,0.2,0.795,8.400005754083395e-06,4.52,Neutral,5.259999306872487e-05,6.0999998822808266e-05
time warner is the devil worst possible time for the internet to go out,Negativo,0.0,0.4,0.585,8.199989679269493e-06,3.09,Negativo,5.809999129269272e-05,6.629998097196221e-05
fuck no internet damn time warner,Negativo,0.0,0.7,0.263,2.2500011255033314e-05,1.86,Negativo,5.18000015290454e-05,7.430001278407872e-05
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,Negativo,0.0,0.2,0.805,8.100003469735384e-06,4.52,Neutral,7.910000567790121e-05,8.720000914763659e-05
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,Negativo,0.3,0.1,0.582,8.300004992634058e-06,5.12,Neutral,5.370000144466758e-05,6.200000643730164e-05
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,Negativo,0.2,0.1,0.678,9.399998816661537e-06,4.88,Neutral,6.170000415295362e-05,7.110000296961516e-05
time warner s hd line up is crap,Negativo,0.0,0.3,0.698,8.000002708286047e-06,3.99,Neutral,5.219999002292752e-05,6.019999273121357e-05
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,Negativo,0.0,0.3,0.685,7.90000194683671e-06,3.99,Neutral,5.079999391455203e-05,5.869999586138874e-05
time warner cable slogan where calling it a day at pm happens,Negativo,0.0,0.0,1.0,7.700000423938036e-06,4.91,Neutral,5.7999990531243384e-05,6.569999095518142e-05
recovering from surgery wishing was here,Negativo,0.3,0.0,0.725,7.90000194683671e-06,5.26,Neutral,5.869999586138874e-05,6.659999780822545e-05
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,Positivo,0.1,0.3,0.62,8.300004992634058e-06,3.99,Neutral,5.299999611452222e-05,6.130000110715628e-05
the dentist lied u will not feel any discomort prob will not even need pain pills man u twippin this shit hurt how many pills can i take,Negativo,0.1,0.3,0.619,8.29999044071883e-06,3.99,Neutral,5.1399998483248055e-05,5.9699988923966885e-05
my dentist is great but she is expensive,Negativo,0.3,0.0,0.733,7.899987394921482e-06,5.26,Neutral,5.200000305194408e-05,5.989999044686556e-05
is studing math tomorrow exam and dentist,Positivo,0.0,0.0,1.0,7.700000423938036e-06,4.91,Neutral,5.830000736750662e-05,6.600000779144466e-05
my dentist was wrong wrong,Negativo,0.0,0.7,0.326,7.899987394921482e-06,1.86,Negativo,5.299999611452222e-05,6.08999835094437e-05
going to the dentist later,Negativo,0.0,0.0,1.0,7.50001345295459e-06,4.91,Neutral,5.8999998145736754e-05,6.650001159869134e-05
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,Negativo,0.2,0.1,0.698,8.29999044071883e-06,4.88,Neutral,5.259999306872487e-05,6.08999835094437e-05
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,Negativo,0.0,0.1,0.85,7.90000194683671e-06,4.81,Neutral,5.5900003644637764e-05,6.380000559147447e-05
safeway is very rock n roll tonight,Positivo,0.0,0.0,1.0,7.599999662488699e-06,4.91,Neutral,6.70000008540228e-05,7.46000005165115e-05
the safeway bathroom still smells like ass,Negativo,0.2,0.3,0.455,8.600007276982069e-06,4.11,Neutral,5.0699993153102696e-05,5.9300000430084765e-05
at safeway on elkhorn they move like they are dead,Negativo,0.2,0.3,0.541,8.200004231184721e-06,4.11,Neutral,5.0000002374872565e-05,5.8200006606057286e-05
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,Positivo,0.4,0.1,0.512,8.100003469735384e-06,5.67,Neutral,5.2799994591623545e-05,6.089999806135893e-05
found nothing at nike factory off to banana republic outlet,Negativo,0.0,0.0,1.0,7.499998901039362e-06,4.91,Neutral,6.410000787582248e-05,7.160000677686185e-05
is lovin his nike already and that s only from running on the spot in his bedroom,Positivo,0.0,0.0,1.0,7.599999662488699e-06,4.91,Neutral,5.9600002714432776e-05,6.720000237692147e-05
i finally got around to using jquery to make my bio collapse yay for slide animations,Positivo,0.2,0.2,0.663,8.300004992634058e-06,4.61,Neutral,0.00019040000915993005,0.0001987000141525641
right lol we will get there i have high expectations warren buffet style,Positivo,0.2,0.0,0.797,7.90000194683671e-06,4.98,Neutral,7.900000491645187e-05,8.690000686328858e-05
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,Positivo,0.2,0.0,0.806,7.90000194683671e-06,4.98,Neutral,7.360000745393336e-05,8.150000940077007e-05
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,Positivo,0.2,0.0,0.849,7.90000194683671e-06,4.98,Neutral,6.02000072831288e-05,6.810000922996551e-05
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,Positivo,0.3,0.0,0.746,7.90000194683671e-06,5.26,Neutral,5.6199991377070546e-05,6.409999332390726e-05
it is definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,Positivo,0.4,0.0,0.629,7.90000194683671e-06,5.87,Neutral,5.699999746866524e-05,6.489999941550195e-05
time warner road runner customer support here absolutely blows i hate not having other high speed net options I am ready to go nuclear,Negativo,0.2,0.1,0.674,8.300004992634058e-06,4.88,Neutral,6.469999789260328e-05,7.300000288523734e-05
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf,Negativo,0.1,0.2,0.642,8.29999044071883e-06,4.52,Neutral,5.6899996707215905e-05,6.519998714793473e-05
we tried but time warner wasn t being nice so we recorded today,Negativo,0.3,0.0,0.748,7.90000194683671e-06,5.26,Neutral,5.6200005928985775e-05,6.410000787582248e-05
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,Negativo,0.0,0.0,1.0,7.599999662488699e-06,4.91,Neutral,6.399999256245792e-05,7.159999222494662e-05
wth i have never seen a line this loooong at time warner before ugh,Negativo,0.0,0.4,0.617,7.90000194683671e-06,3.09,Negativo,5.509999755304307e-05,6.299999949987978e-05
impatiently awaiting the arrival of the time warner guy it is way too pretty to be inside all afternoon,Negativo,0.1,0.1,0.742,8.400005754083395e-06,4.81,Neutral,6.199999188538641e-05,7.03999976394698e-05
naive bayes using em for text classification really frustrating,Negativo,0.0,0.4,0.569,8.999995770864189e-06,3.09,Negativo,5.5800002883188426e-05,6.479999865405262e-05
we went to stanford university today got a tour made me want to go back to college it is also decided all of our kids will go there,Positivo,0.0,0.0,0.952,8.300004992634058e-06,4.91,Neutral,6.180000491440296e-05,7.010000990703702e-05
if you are being harassed by calls about your car warranty changing your number will not fix that they call every number d bags,Negativo,0.1,0.1,0.766,8.999995770864189e-06,4.81,Neutral,5.700001202058047e-05,6.600000779144466e-05
just blocked united blood services using google voice they call more than those car warranty guys,Negativo,0.1,0.1,0.741,8.800008799880743e-06,4.81,Neutral,6.130000110715628e-05,7.010000990703702e-05
at amp t is complete fail,Negativo,0.0,0.5,0.533,8.699993486516178e-06,1.67,Negativo,5.230000533629209e-05,6.0999998822808266e-05
oh snap you work at at amp t do not you,Negativo,0.0,0.0,1.0,8.300004992634058e-06,4.91,Neutral,6.0399994254112244e-05,6.86999992467463e-05
i really dont want at amp t phone service they suck when it comes to having a signal,Negativo,0.0,0.3,0.747,8.500006515532732e-06,3.99,Neutral,5.329999839887023e-05,6.180000491440296e-05
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof,Negativo,0.0,0.1,0.909,8.499991963617504e-06,4.81,Neutral,8.560001151636243e-05,9.410000347997993e-05
pissed about at amp t s mid contract upgrade price for the iphone it is more I am not going to pay for something i thought was,Negativo,0.0,0.2,0.793,8.600007276982069e-06,4.52,Neutral,5.4899996030144393e-05,6.350000330712646e-05
safari is fast even on my shitty at amp t tethering,Negativo,0.0,0.3,0.714,8.499991963617504e-06,3.99,Neutral,5.300001066643745e-05,6.150000263005495e-05
what is at amp t fucking up,Negativo,0.0,0.0,1.0,8.100003469735384e-06,4.91,Neutral,5.9999991208314896e-05,6.809999467805028e-05
